CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
200000,41,Enquiry,3,6,Salaried,Female,3,3,Deluxe,3,Single,1,1,2,1,0,Manager,20993,1
200001,49,Company Invited,1,14,Salaried,Male,3,4,Deluxe,4,Divorced,2,0,3,1,2,Manager,20130,0
200002,37,Enquiry,1,8,Free Lancer,Male,3,4,Basic,3,Single,7,1,3,0,0,Executive,17090,1
200003,33,Company Invited,1,9,Salaried,Female,2,3,Basic,3,Divorced,2,1,5,1,1,Executive,17909,0
200004,,Enquiry,1,8,SmallBusiness,Male,2,3,Basic,4,Divorced,1,0,5,1,0,Executive,18468,0
200005,32,Company Invited,1,8,Salaried,Male,3,3,Basic,3,Single,1,0,5,1,1,Executive,18068,0
200006,59,Enquiry,1,9,SmallBusiness,Female,2,2,Basic,5,Divorced,5,1,2,1,1,Executive,17670,0
200007,30,Enquiry,1,30,Salaried,Male,3,3,Basic,3,Married,2,0,2,0,1,Executive,17693,0
200008,38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,0,0,Senior Manager,24526,0
200009,36,Enquiry,1,33,SmallBusiness,Male,3,3,Deluxe,3,Divorced,7,0,3,1,0,Manager,20237,0
200010,35,Enquiry,1,22,SmallBusiness,Male,2,2,Basic,4,Divorced,1,0,3,1,1,Executive,17426,0
200011,,Enquiry,1,21,Salaried,Female,2,4,Deluxe,3,Single,1,1,3,0,0,Manager,,0
200012,31,Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,0,1,Executive,17911,0
200013,34,Enquiry,1,25,SmallBusiness,Male,3,3,Basic,3,Married,1,0,3,0,2,Executive,17661,0
200014,28,Enquiry,1,30,Salaried,Male,2,4,Basic,3,Single,6,1,2,0,0,Executive,17028,1
200015,29,Enquiry,1,27,Salaried,Female,2,2,Standard,5,Married,2,0,5,1,1,Senior Manager,24980,0
200016,32,Enquiry,1,11,Salaried,Male,3,2,Basic,4,Married,1,1,2,1,0,Executive,18298,0
200017,22,Company Invited,1,22,SmallBusiness,Male,3,2,Basic,3,Married,2,1,3,0,0,Executive,17935,0
200018,53,Enquiry,3,8,Salaried,Female,3,4,Super Deluxe,3,Divorced,3,0,3,1,0,AVP,30427,0
200019,,Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,6,1,4,0,1,Executive,,0
200020,,Company Invited,1,17,Salaried,Female,3,2,Deluxe,3,Married,1,0,3,1,2,Manager,,0
200021,,Enquiry,3,15,Salaried,Male,2,4,Deluxe,5,Single,1,0,2,0,0,Manager,18407,1
200022,34,Enquiry,1,13,Salaried,Fe Male,2,3,Standard,4,Unmarried,1,0,3,1,0,Senior Manager,26994,0
200023,21,Enquiry,1,21,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,Executive,16232,0
200024,34,Enquiry,1,12,SmallBusiness,Male,2,3,Basic,5,Single,3,0,2,1,1,Executive,17960,1
200025,53,Enquiry,1,11,Salaried,Female,2,3,King,3,Married,5,0,5,0,1,VP,34094,0
200026,,Company Invited,1,22,Salaried,Female,3,5,Basic,5,Single,2,1,4,1,2,Executive,,1
200027,42,Enquiry,3,14,SmallBusiness,Male,2,3,Deluxe,4,Divorced,1,0,3,0,1,Manager,21825,0
200028,44,Enquiry,1,13,SmallBusiness,Female,2,4,Standard,3,Divorced,4,0,4,1,0,Senior Manager,25248,0
200029,46,Enquiry,3,8,SmallBusiness,Female,2,3,King,5,Single,4,0,2,0,1,VP,33947,0
200030,33,Enquiry,1,8,SmallBusiness,Male,3,3,Basic,3,Single,5,0,3,1,2,Executive,17496,0
200031,44,Enquiry,1,16,Salaried,Male,2,3,Deluxe,3,Divorced,3,1,3,1,1,Manager,21465,0
200032,30,Enquiry,1,15,SmallBusiness,Male,2,4,Basic,3,Single,2,0,4,1,1,Executive,17206,0
200033,39,Enquiry,3,11,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,17086,1
200034,24,Enquiry,1,6,SmallBusiness,Male,3,3,Basic,3,Divorced,3,1,3,1,2,Executive,17293,1
200035,43,Enquiry,1,8,SmallBusiness,Female,3,2,Basic,3,Married,2,0,2,0,1,Executive,17645,0
200036,50,Enquiry,3,9,SmallBusiness,Male,2,4,Basic,3,Divorced,2,1,4,0,0,Executive,17683,1
200037,35,Enquiry,3,8,SmallBusiness,Female,3,3,Basic,3,Divorced,2,0,2,1,0,Executive,17014,0
200038,36,Enquiry,1,11,Salaried,Female,2,4,Basic,,Divorced,1,1,2,1,0,Executive,95000,0
200039,33,Company Invited,3,6,Salaried,Female,2,2,Deluxe,5,Divorced,3,0,3,1,0,Manager,20376,0
200040,35,Enquiry,1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,0,0,Executive,16951,0
200041,27,Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,Executive,17341,0
200042,26,Enquiry,1,31,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,Executive,17293,1
200043,27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,2,1,0,Senior Manager,23726,0
200044,,Company Invited,1,6,SmallBusiness,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,,0
200045,41,Enquiry,1,18,Large Business,Female,2,3,King,3,Divorced,2,0,4,1,0,VP,34545,1
200046,34,Company Invited,3,,SmallBusiness,Male,3,3,Deluxe,3,Single,1,0,5,1,1,Manager,19568,0
200047,37,Enquiry,1,25,Salaried,Male,3,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022,0
200048,46,Company Invited,3,11,SmallBusiness,Male,3,3,Deluxe,3,Single,5,1,5,1,1,Manager,20772,0
200049,35,Enquiry,1,14,Salaried,Male,2,2,Basic,3,Divorced,2,0,5,1,1,Executive,17269,0
200050,48,Enquiry,1,6,Salaried,Male,3,4,Standard,3,Single,1,1,5,0,2,Senior Manager,20381,1
200051,,Enquiry,1,11,Large Business,Male,2,3,Basic,3,Single,2,1,2,1,0,Executive,18441,1
200052,44,Enquiry,3,6,SmallBusiness,Female,3,3,Deluxe,5,Married,6,1,2,0,0,Manager,20454,0
200053,35,Company Invited,1,17,SmallBusiness,Male,3,4,Standard,5,Divorced,3,1,5,1,1,Senior Manager,24884,0
200054,,Enquiry,3,29,SmallBusiness,Female,2,4,Deluxe,3,Divorced,1,1,2,1,0,Manager,,0
200055,33,Company Invited,1,6,Salaried,Fe Male,3,3,Standard,3,Unmarried,2,1,2,1,0,Senior Manager,28458,0
200056,35,Company Invited,3,24,Salaried,Male,3,3,Standard,5,Divorced,2,0,4,1,0,Senior Manager,24069,0
200057,,Enquiry,1,29,SmallBusiness,Female,1,3,Basic,5,Divorced,4,1,4,1,0,Executive,,0
200058,31,Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,4,0,3,1,0,Manager,20915,0
200059,37,Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Married,2,0,5,1,1,Manager,20993,0
200060,32,Enquiry,1,6,SmallBusiness,Male,2,3,Deluxe,3,Divorced,2,1,4,1,0,Manager,21162,0
200061,38,Company Invited,1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406,0
200062,50,Enquiry,1,13,SmallBusiness,Female,2,4,King,3,Married,6,1,4,1,1,VP,33740,0
200063,59,Enquiry,3,31,Salaried,Female,2,3,Standard,5,Unmarried,1,0,3,1,0,Senior Manager,22637,0
200064,36,Enquiry,1,14,Large Business,Female,2,3,Standard,3,Married,2,0,4,1,1,Senior Manager,25096,0
200065,55,Enquiry,1,14,SmallBusiness,Female,2,3,Super Deluxe,3,Married,3,1,3,0,1,AVP,29756,0
200066,36,Company Invited,1,17,Salaried,Male,3,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499,0
200067,45,Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,1,1,Senior Manager,24724,0
200068,35,Company Invited,1,6,SmallBusiness,Male,3,3,Basic,5,Divorced,5,0,2,0,1,Executive,17194,0
200069,,Enquiry,1,15,SmallBusiness,Male,3,4,Basic,3,Divorced,1,1,2,0,1,Executive,18388,1
200070,59,Company Invited,3,6,Salaried,Female,2,4,Deluxe,3,Single,1,0,5,1,1,Manager,20473,0
200071,29,Enquiry,1,8,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703,0
200072,31,Enquiry,1,6,SmallBusiness,Male,2,3,Basic,4,Single,2,0,3,0,0,Executive,17501,0
200073,32,Enquiry,1,6,Salaried,Male,3,3,Deluxe,4,Divorced,2,0,3,0,0,Manager,21220,0
200074,36,Enquiry,1,12,Salaried,Female,2,2,Deluxe,3,Divorced,4,0,2,0,0,Manager,18038,0
200075,31,Enquiry,1,,Salaried,Female,3,3,Deluxe,3,Single,2,0,5,0,1,Manager,,0
200076,35,Enquiry,3,,SmallBusiness,Male,2,4,Deluxe,5,Single,1,0,2,0,1,Manager,,0
200077,45,Enquiry,1,12,Salaried,Male,2,3,Standard,5,Divorced,5,1,3,0,0,Senior Manager,28245,0
200078,37,Enquiry,1,13,SmallBusiness,Male,1,3,Standard,3,Single,5,0,2,0,0,Senior Manager,28664,0
200079,46,Enquiry,2,11,SmallBusiness,Male,3,,Deluxe,4,Married,1,1,5,0,1,Manager,20021,0
200080,30,Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,2,1,1,Manager,20126,0
200081,35,Enquiry,1,6,SmallBusiness,Male,1,4,Basic,3,Single,2,0,4,1,0,Executive,17859,0
200082,55,Enquiry,3,6,Salaried,Male,3,3,Standard,3,Divorced,4,0,2,0,1,Senior Manager,25239,0
200083,38,Company Invited,1,12,SmallBusiness,Female,3,5,Deluxe,3,Married,1,1,2,0,2,Manager,20329,0
200084,34,Enquiry,1,,SmallBusiness,Male,3,3,Deluxe,4,Divorced,2,0,5,0,0,Manager,,0
200085,56,Enquiry,1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,2,0,0,Senior Manager,22260,0
200086,23,Enquiry,3,8,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,1,Executive,17322,0
